fileName,labelName,area_start,area_end,category_01,category_02,category_03,decibel,soundQuality,subCategory,bitRate,duration,fileFormat,fileSize,recodingType,sampleRate,acqDevice,acqMethod,acqType,areaUse,dayNight,direction,distance,district,latitude,longitude,micClass,obstacle,place,recordingTime,urban,weather,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50
2.motorcycle_horn_83815_1.wav,2.motorcycle_horn_83815_1.wav,56.74,103.89,교통소음,이륜자동차,이륜차경적,109,정상,이륜차경적,705kbps,152.036,wav,13409600,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,4m,용두동,37.63,126.88,무지향성,없음,건물내부,06:15,고양시,맑음,-163.80264,-16.947216,-8.515997,45.694817,39.554745,1.2308824,-11.3336735,23.89484,12.355842,-0.026761256,-3.8907797,31.888542,4.1958127,-9.25849,-3.121201,22.948828,2.929083,-11.434432,-10.676939,7.06824,-2.5053692,10.1673,30.12363,26.16475,17.160744,22.674137,9.610085,-7.6369886,-9.794267,-7.864375,3.2844186,7.4809275,3.958443,2.5966783,-11.764906,-10.910092,12.833116,8.619923,-3.4230938,-9.404816,-13.674588,-0.94817454,3.310482,5.5114183,-7.452983,-5.3519683,18.596983,21.599066,12.142183,-8.752986
2.motorcycle_horn_62491_1.wav,2.motorcycle_horn_62491_1.wav,66.81,125.46,교통소음,이륜자동차,이륜차경적,108,정상,이륜차경적,705kbps,127.664,wav,11259968,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,우,10m,용두동,37.63,126.88,무지향성,없음,도로변,17:13,고양시,맑음,-212.85449,45.60964,1.1407894,19.250576,22.623394,15.234594,-15.717031,27.606554,11.485738,1.5042695,-0.5865265,7.0409956,0.60264754,-8.850712,4.1063557,10.2569895,-4.9656997,6.7402754,14.327007,21.04468,3.6686516,6.0891848,2.546058,0.7032808,-9.4564495,2.4987884,-4.0651846,6.1242547,-7.3247323,-7.809274,-7.80114,1.308578,2.6486096,0.10242792,-5.3575034,0.27803466,8.644882,12.2726755,8.035975,0.53061485,-4.130987,4.236155,3.7106042,-8.947218,-8.692947,1.2637829,10.648001,-8.280903,-15.198415,-8.18193
2.motorcycle_horn_63606_1.wav,2.motorcycle_horn_63606_1.wav,11.75,70.04,교통소음,이륜자동차,이륜차경적,71,정상,이륜차경적,705kbps,138.739,wav,12236864,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,우,10m,용두동,37.63,126.88,무지향성,없음,도로변,15:23,고양시,맑음,-370.71616,137.98192,-36.1356,14.052431,-8.774166,16.961147,0.7922333,16.898504,2.6656787,6.608434,-6.1161604,-2.9512622,3.671538,-2.1484263,-3.4924684,-12.536438,-5.515012,0.48216927,8.443335,20.208755,24.881672,24.017462,5.6757026,-12.486154,-19.42513,-10.298875,5.0845437,6.2869716,0.51856744,-12.542097,-18.557947,-8.848447,7.2937894,3.3893375,-9.984344,-16.915527,-9.465019,11.761965,24.915796,14.858846,-1.8521898,-1.2452083,4.578598,-2.0753808,-16.693796,-15.122376,4.2530837,13.86516,-0.26518482,-15.846823
2.motorcycle_horn_35096_1.wav,2.motorcycle_horn_35096_1.wav,2.0,20.798,교통소음,이륜자동차,이륜차경적,75,노이즈,이륜차경적,705kbps,22.798,wav,2010862,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,10m,용두동,37.63,126.88,무지향성,없음,도로변,11:52,고양시,맑음,-508.9588,88.69279,29.439425,5.560703,-5.1804175,27.953775,-3.3057358,6.4776945,4.1501174,1.5335134,0.06416656,-7.250627,-3.3173728,17.28804,22.953533,30.409348,29.606958,12.920346,-6.8032026,-19.62247,-15.5407915,2.0352638,15.95346,6.678576,-16.636658,-17.086842,1.0681633,25.639877,23.733791,12.144628,0.3989563,14.439065,22.573124,-3.5391035,-21.826591,-12.249976,11.263028,13.697862,-11.545432,-14.438055,3.3438,6.352257,-2.6631927,5.3147173,19.037209,13.35598,-9.2950735,-10.843955,4.035385,5.5669713
2.motorcycle_horn_35139_1.wav,2.motorcycle_horn_35139_1.wav,2.0,20.684,교통소음,이륜자동차,이륜차경적,68,노이즈,이륜차경적,705kbps,22.684,wav,2000752,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,10m,용두동,37.63,126.88,무지향성,없음,도로변,13:10,고양시,맑음,-430.1076,145.2939,-6.8858,14.13124,3.2819018,15.95559,-2.1316025,7.248704,0.47143,1.0077097,0.8544752,-3.2138994,-2.3570843,-4.8165364,-3.498813,-9.521215,-3.8989773,6.731436,16.698994,31.067255,36.157555,26.586098,7.4050756,-14.393299,-20.998165,-10.453642,6.835929,12.034027,3.4768918,-8.896857,-14.665087,-8.3535595,5.1088095,9.306568,-6.419989,-16.559996,-6.90966,11.84036,27.184355,22.124743,5.722406,1.551807,5.2676177,0.5634358,-12.9711685,-16.74915,1.1462946,16.096052,3.7095287,-13.720922
2.motorcycle_horn_35146_1.wav,2.motorcycle_horn_35146_1.wav,2.0,20.424,교통소음,이륜자동차,이륜차경적,72,노이즈,이륜차경적,705kbps,22.424,wav,1977798,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,10m,용두동,37.63,126.88,무지향성,없음,도로변,14:10,고양시,맑음,-352.07324,159.11774,-15.704311,20.770136,-30.429604,19.460342,9.579946,12.253101,2.3291564,7.4605,-3.3782854,-4.959519,8.791767,1.4344883,3.5110443,-7.01175,-4.3121934,-0.98813015,2.1307552,12.598164,12.665126,6.4308724,-0.10768432,-8.918519,-9.724083,0.42038602,7.7314043,5.780183,2.326306,-4.5477004,-7.476294,-3.1480596,4.5705934,5.6686997,-4.882207,-9.510973,-6.4267154,3.512105,12.649399,8.938978,1.4582655,-0.18504092,1.8433051,-2.1216707,-7.8153067,-3.3646138,5.086059,7.5419965,-0.019307839,-7.6050572
2.motorcycle_horn_83024_1.wav,2.motorcycle_horn_83024_1.wav,2.0,21.977,교통소음,이륜자동차,이륜차경적,113,정상,이륜차경적,705kbps,23.977,wav,2114794,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,5m,용두동,37.63,126.88,무지향성,없음,건물내부,13:05,고양시,맑음,-174.69556,65.11622,43.76292,51.838547,33.49401,39.35548,-37.165543,24.277508,-2.7473805,-3.1637096,-15.717837,-1.5572376,-5.7037263,5.6597104,-12.362486,-2.055333,9.076465,7.580556,2.0764418,10.073524,6.5105743,7.411791,-9.553028,-1.238698,-2.9027426,-9.395519,-7.7831826,-5.998518,-6.519143,-6.964668,-0.887436,-7.377106,0.32592264,10.188842,-7.0118356,1.2306627,6.9717126,16.776548,-3.7051435,-8.534894,-0.71040654,9.187981,-8.138589,-18.334372,-1.5574238,11.565954,-5.1988716,-19.439165,-3.8386238,18.682814
2.motorcycle_horn_83027_1.wav,2.motorcycle_horn_83027_1.wav,2.0,21.977,교통소음,이륜자동차,이륜차경적,111,정상,이륜차경적,705kbps,23.977,wav,2114794,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,5m,용두동,37.63,126.88,무지향성,없음,건물내부,13:16,고양시,맑음,-171.39806,60.14807,44.243397,49.566902,34.230686,36.70666,-35.105312,23.09626,-0.60366815,-3.6783211,-19.84005,1.4254558,-7.637417,2.7000296,-12.897244,-1.0294858,9.910263,11.080602,3.6056342,14.359904,8.643702,12.470374,-8.471783,1.0868324,-2.3459535,-2.3852093,-3.1440375,-6.41936,0.84413666,-4.029644,-0.9422028,-7.820303,4.620944,8.28435,-7.0449777,4.0613194,7.2419395,18.45756,-2.3463895,-8.975262,-1.4918357,6.6095195,-7.6790743,-18.596363,-6.01418,12.92936,-5.9731455,-20.165949,-8.494545,16.45095
2.motorcycle_horn_83039_1.wav,2.motorcycle_horn_83039_1.wav,2.0,21.977,교통소음,이륜자동차,이륜차경적,105,정상,이륜차경적,705kbps,23.977,wav,2114794,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,5m,용두동,37.63,126.88,무지향성,없음,건물내부,13:27,고양시,맑음,-172.00345,57.05208,44.975964,53.611893,26.939865,39.186028,-30.455286,24.068129,6.2767754,-8.315219,-17.337177,3.6603289,-9.393619,-1.0986267,-14.056947,-4.138819,9.818519,14.4087515,0.95516974,18.094639,4.9246216,15.043923,-3.0245037,-3.1139815,-1.9338828,-1.4616008,-3.7901587,-6.206006,5.581381,-4.457112,-1.2764903,-10.5457,2.6380382,8.938947,-2.5456572,3.0342727,7.054149,20.60331,0.48709962,-5.787375,-3.4851742,6.1231465,-4.6854525,-12.202057,-10.875566,9.993685,2.4100668,-17.837494,-13.659821,13.471229
2.motorcycle_horn_83040_1.wav,2.motorcycle_horn_83040_1.wav,2.0,21.977,교통소음,이륜자동차,이륜차경적,113,정상,이륜차경적,705kbps,23.977,wav,2114794,Mono,44.1kHz,TASCAM DR-05X,인위적,제작,상업지역,주간,위,5m,용두동,37.63,126.88,무지향성,없음,건물내부,13:28,고양시,맑음,-248.63947,70.54508,20.832335,64.81847,59.76293,22.36353,0.7344936,57.99924,3.8684137,4.7274203,1.2792053,10.6002655,-4.5562863,-3.2309275,5.6888647,-6.1619983,-6.491259,-9.528026,-5.74382,4.6833196,5.2179985,-1.3033966,14.62807,9.821674,3.1086612,-4.6161284,-8.784152,-11.339903,-12.9235935,9.88678,-7.301385,-2.3008757,-8.725482,-14.085721,-4.838628,0.9598243,6.3509836,-11.8338995,-6.2454505,-8.757298,4.492435,7.064554,9.677256,1.0926691,2.8169668,13.089133,7.213339,-7.2242417,-11.941404,-0.5481363
